,Unnamed: 0,area,circumferfence,short dia,long dia,png_name,Count,aspect,labels
0,0,102.66658675756264,72.91421162154418,9.90114906855992,13.175584384373256,reshape-n1000,7,0.24852296644215188,1
1,1,97.2581227497399,70.37140016474424,9.981080436706543,12.350913429260254,reshape-n1001,5,0.19187511969271812,1
2,2,128.5908326545906,80.591181202826,11.50461769104004,14.071184794108072,reshape-n1002,3,0.1823987916172284,1
3,3,112.64797308176544,77.88936538564711,9.70207667350769,14.788130760192873,reshape-n1003,4,0.34392812514046556,1
4,4,103.92572197803273,73.21240586088526,10.065152168273926,13.117945671081545,reshape-n1004,3,0.23271887072512346,1
5,5,117.99374262570144,76.23036532662107,10.786105700901576,13.379850660051618,reshape-n1005,7,0.19385455227046874,1
6,6,124.55281895896388,79.66784540027423,11.093944549560549,14.167396863301596,reshape-n1006,6,0.21693839336867451,1
7,7,99.3873944671059,72.03133864585729,9.535075855255126,13.216002273559573,reshape-n1007,5,0.2785204135193473,1
8,8,111.96300881709638,75.86202587713461,10.4375422000885,13.602569341659546,reshape-n1008,4,0.2326786257856272,1
9,9,141.63905980594032,84.6651859056725,12.553475379943848,14.365778923034668,reshape-n1009,1,0.1261542136211563,1
10,10,94.84947432481636,69.94682601920775,9.550509316580635,12.602134023393903,reshape-n100,7,0.24215142460383304,1
11,11,98.53142907767074,70.44079027880615,10.317174094063896,12.06002712249756,reshape-n1010,7,0.14451485147843762,1
12,12,113.44918496812384,76.46266872542391,10.657074356079102,13.572387886047364,reshape-n1011,5,0.21479739265079892,1
13,13,101.70098595690614,70.74300641735869,10.486257235209148,11.998603185017904,reshape-n1012,3,0.1260435007715858,1
14,14,83.111408392855,64.1779339022912,9.69167413711548,10.721521377563477,reshape-n1013,5,0.09605420762422005,1
15,15,98.66655958198058,71.03267527105344,10.108072280883787,12.43781328201294,reshape-n1014,2,0.18731114129992038,1
16,16,97.9612038139118,70.28422260368608,10.320048809051514,12.003914833068848,reshape-n1015,4,0.14027640544221082,1
17,17,99.22230641802798,71.27006472923065,9.938303589820862,12.661028027534485,reshape-n1016,8,0.21504765898885908,1
18,18,103.79102076460153,72.47476276913099,10.60437806447347,12.42861525217692,reshape-n1017,3,0.14677718721592312,1
19,19,108.4851614590902,74.55500925718891,10.372129249572756,13.26579236984253,reshape-n1018,10,0.21812968570562075,1
20,20,103.72497281106222,72.86782168335797,10.34563128153483,12.774735450744627,reshape-n1019,3,0.19014907812186488,1
21,21,91.19836796820944,68.19776582523632,9.47922649383545,12.140409469604492,reshape-n101,10,0.21920042997163736,1
22,22,63.36893948785804,56.49752193273099,8.65237045288086,9.325056076049805,reshape-n1020,1,0.07213743463662926,1
23,23,102.78820206646394,72.21788187191869,10.51281229654948,12.43019930521647,reshape-n1021,3,0.15425231418955107,1
24,24,48.62580675720616,49.49589629111396,7.4329652190208435,8.308104574680328,reshape-n1022,8,0.1053356211146581,1
25,25,46.09712241396612,48.085859502034815,7.1827659077114525,8.10544130537245,reshape-n1023,9,0.11383407305033837,1
26,26,53.68034444053397,51.08957132204455,7.349209887640817,8.87118775503976,reshape-n1024,14,0.17156415909857173,1
27,27,45.376992083493946,48.03784125660605,6.948964422399348,8.308695663105357,reshape-n1025,11,0.1636515881480503,1
28,28,47.33609061259953,48.91279197934584,6.977574788607084,8.545667428236742,reshape-n1026,13,0.1834956313006447,1
29,29,55.029613721578166,50.83583456135211,7.217049241065979,8.906319618225098,reshape-n1027,6,0.1896709807833919,1
30,30,47.85584444719561,49.12839483699271,7.268045822779338,8.348274072011312,reshape-n1028,6,0.1293953983678593,1
31,31,40.91357082761152,46.0290362672248,6.3714901606241865,8.206976572672525,reshape-n1029,3,0.22364952498586577,1
32,32,100.2374150338498,72.03448285244774,9.809344821506077,12.996581819322374,reshape-n102,9,0.24523655851400442,1
33,33,46.10736710782356,48.45600150773887,6.8733580762689765,8.501947923140092,reshape-n1030,11,0.19155490736875924,1
34,34,58.41393249975295,54.53040159185156,7.759437203407288,9.54561734199524,reshape-n1032,12,0.1871204422504749,1
35,35,53.01497965997722,52.92649505350731,6.823851919174194,9.87291612625122,reshape-n1033,10,0.30883116680894623,1
36,36,40.82822532272517,45.75445251796439,6.211061557133992,8.26477837562561,reshape-n1034,6,0.2484902468223971,1
37,37,54.316961516066726,53.31022070511545,7.006688197453816,9.835028330485024,reshape-n1035,6,0.2875782395323029,1
38,38,51.771321069558006,51.8182667129184,7.01068605695452,9.391280038016182,reshape-n1036,7,0.25348983007906767,1
39,39,45.01376027963569,48.349041782812265,6.500613516027277,8.796965772455389,reshape-n1037,11,0.26103912596981255,1
40,40,40.82424667368036,45.66123680417095,6.365684668223064,8.115216732025146,reshape-n1038,3,0.21558660989273268,1
41,41,35.47387736488763,42.27226808414007,6.058147083629262,7.342891302975741,reshape-n1039,11,0.17496435209735856,1
42,42,90.1641736512862,67.85284908659065,9.618578553199768,11.909358501434326,reshape-n103,8,0.19235124611948357,1
43,43,39.59520567354604,45.17507307489223,6.184706687927246,8.124896594456263,reshape-n1040,7,0.2387956429935167,1
44,44,46.67204079956859,49.103979189873336,6.543931431240505,8.984273539649116,reshape-n1041,9,0.2716237542900903,1
45,45,124.42699044508738,78.6679186462225,11.259716987609862,13.715820789337158,reshape-n1042,2,0.1790708583504314,1
46,46,48.84525195244506,50.20157146178711,6.896251678466797,9.00912628173828,reshape-n1043,5,0.23452602807381345,1
47,47,54.97353159990792,53.72294637725698,7.072864373524983,9.902107238769531,reshape-n1044,3,0.28572129113763456,1
