,area,circumferfence,short dia,long dia,png_name,Count,aspect,labels
551,206.6612487306637,100.76089428517973,18.138837242126463,13.700398826599121,reshape-n1506,5,-0.3239641759121771,1
552,144.61556064239085,84.8042347281105,14.791104125976563,12.128572177886962,reshape-n1507,10,-0.2195255887534708,1
553,205.85146324282778,101.93200251899381,18.131376647949217,14.171624088287354,reshape-n1508,10,-0.2794141684109828,1
554,178.76619238445895,95.00387394395841,16.712126868111746,13.429532732282366,reshape-n1509,7,-0.24443100152982747,1
555,118.524849109559,77.18467031376466,13.214448738098145,11.308469200134278,reshape-n150,5,-0.16854443375423755,1
556,167.75461057935146,93.13070886197418,16.733957131703693,12.745992660522461,reshape-n1510,6,-0.3128798656485155,1
557,104.23372007896276,73.17321579614347,10.344836235046387,12.863203048706055,reshape-n1511,2,0.1957806935118697,1
558,176.21736949945728,92.98934275519095,16.173003408643936,13.34707662794325,reshape-n1512,9,-0.21172627231227287,1
559,180.11019146269734,94.7529024713573,16.75225305557251,13.289051413536072,reshape-n1513,8,-0.2606056319797861,1
560,203.37022814505283,100.40929037520301,17.5369382585798,14.327512468610491,reshape-n1514,7,-0.22400439692519516,1
561,199.04466079989146,99.12822895947647,17.056278228759766,14.431875365121025,reshape-n1515,7,-0.1818476668653473,1
562,130.5772516226317,81.1945989236138,14.156973626878527,11.614662382337782,reshape-n1516,9,-0.21888808825014094,1
563,163.3020740380194,90.29873041092652,15.65702497959137,13.019953966140747,reshape-n1517,8,-0.2025407325024728,1
564,151.7279110708587,87.65760001693639,15.188942432403564,12.642223358154297,reshape-n1518,4,-0.20144550543845763,1
565,137.15684216427047,81.72536261727973,14.083765438624791,11.875606264386859,reshape-n1519,7,-0.18594075326157175,1
566,89.6990777197454,66.99558255149856,11.501404242082076,9.778630603443492,reshape-n151,11,-0.1761773921628575,1
567,146.91277392798975,86.13059928224573,15.330182552337646,11.961605072021484,reshape-n1520,4,-0.28161584168962034,1
568,140.2487266077498,84.16854825764258,14.376448419358995,12.373042742411295,reshape-n1521,9,-0.16191697698421356,1
569,154.6986237620506,86.9248453132666,15.083029610770089,12.512733868190221,reshape-n1522,7,-0.2054144018130246,1
570,114.15541018323023,75.87101574836417,13.194368362426758,10.89378309249878,reshape-n1523,6,-0.21118331899889867,1
571,155.4504258758198,88.8664735414604,15.670753860473633,12.498092460632325,reshape-n1524,5,-0.2538516505486623,1
572,149.80778241144128,83.60086337194953,14.18737538655599,12.384817282358805,reshape-n1525,6,-0.14554579717254185,1
573,150.6982300102436,87.03960346443928,14.706485339573451,12.967827251979283,reshape-n1526,7,-0.13407474157467633,1
574,130.64508959424998,81.08329019719329,13.893322563171386,11.866241264343262,reshape-n1527,5,-0.1708275816807533,1
575,150.1896830797018,87.24074889654543,12.846370697021484,14.885717391967772,reshape-n1528,1,0.1370002292295771,1
576,129.26024668569138,80.98055982191156,13.976223627726236,11.7452974319458,reshape-n1529,6,-0.1899420775597035,1
577,95.09131834613973,69.86716632671934,12.340468645095825,9.811222314834595,reshape-n152,4,-0.2577911547715113,1
578,133.5446995980131,81.80620682899125,13.70072066783905,12.316696524620056,reshape-n1530,8,-0.11236975275411264,1
579,171.19894485734366,92.83031544615673,14.345670700073242,15.195794582366943,reshape-n1531,2,0.055944681121195,1
580,131.855306898016,81.49755320151338,12.446752071380615,13.483086109161377,reshape-n1532,2,0.07686178293236605,1
581,113.6230150133307,75.56823760254451,12.707999547322592,11.326017061869303,reshape-n1533,3,-0.12201840045835138,1
582,195.73067382056817,100.40601885277147,17.68305587768555,14.134346961975098,reshape-n1534,3,-0.2510698884962539,1
583,108.03880684009421,73.83654617488219,12.60802526473999,10.851237964630126,reshape-n1535,10,-0.16189740800415162,1
584,113.16902510816914,75.53703063241247,12.891639232635498,11.112794280052185,reshape-n1536,8,-0.1600717972235296,1
