,Unnamed: 0,area,circumferfence,short dia,long dia,png_name,Count,aspect,labels
0,0,336.64440499391594,133.66240471750348,17.224704424540203,24.93706067403157,reshape-2n1000,3,0.30927286701125517,2
1,1,351.3383646438484,133.94491050632004,19.18310801188151,23.334510803222656,reshape-2n1001,3,0.17790828470112205,2
2,2,261.9505238234886,116.23862139855532,16.0921147664388,20.744021733601887,reshape-2n1002,3,0.2242528969022321,2
3,3,296.21446504823194,123.1371766205264,17.52811336517334,21.54958438873291,reshape-2n1003,2,0.18661478342302396,2
4,4,274.51930606526724,118.67727338746924,16.672744274139404,20.95778687795003,reshape-2n1004,6,0.2044606440921001,2
5,5,340.2068875085174,134.7509828502877,17.214035034179688,25.253284454345703,reshape-2n1005,2,0.31834470619850735,2
6,6,319.9719416900086,131.00503524295178,16.366891860961914,24.89177131652832,reshape-2n1006,1,0.34247781514471104,2
7,7,316.5353607051279,129.60066884956086,16.56493091583252,24.30393409729004,reshape-2n1007,2,0.31842594497161847,2
8,8,400.1785351658143,143.68745369293168,19.866698265075684,25.67342185974121,reshape-2n1008,2,0.22617645697518482,2
9,9,381.5347396925527,141.5409928210804,18.565444946289062,26.165000915527344,reshape-2n1009,2,0.290447380215011,2
10,10,221.79663077562225,105.49558691899044,14.863327026367188,18.59957003593445,reshape-2n100,4,0.2008779236481716,2
11,11,405.6981334510366,145.42550045560398,19.37785053253174,26.617329597473145,reshape-2n1010,2,0.27198367283353136,2
12,12,423.9008000783297,148.0768017171312,20.224109649658203,26.687318801879883,reshape-2n1011,1,0.24218278352362638,2
13,13,353.7860230885654,135.85787357218862,18.11131191253662,24.858959197998047,reshape-2n1012,2,0.2714372404619752,2
14,14,221.22877547192607,104.39824135138171,14.49294662475586,18.59615580240885,reshape-2n1013,3,0.22064824694152546,2
15,15,287.25560288657715,125.2642499896145,15.332421938578287,23.98148536682129,reshape-2n1014,3,0.360655868306185,2
16,16,379.1377965645003,139.7425013015661,19.32387065887451,24.97637367248535,reshape-2n1015,2,0.22631399929116972,2
17,17,359.61218951604377,136.07660223363132,18.898218790690105,24.22901089986165,reshape-2n1016,3,0.22001690994335982,2
18,18,206.3906553034899,102.18262609200352,15.067353521074567,17.409319468906947,reshape-2n101,7,0.1345236930148322,2
19,19,196.141101755915,99.02463988692568,14.958024501800535,16.539089679718018,reshape-2n103,6,0.0955956590438198,2
20,20,232.879511675752,104.34242597522784,14.158002853393556,18.8374080657959,reshape-2n104,2,0.24841024816460772,2
21,21,176.05849986259173,96.04678111092484,12.595328330993652,17.73733441034953,reshape-2n1057,6,0.2898973408515981,2
22,22,213.4800389219399,105.8082368944022,13.847855567932127,19.572375297546387,reshape-2n1058,4,0.2924795607374181,2
23,23,154.40569765814126,87.30609776391036,12.647709274291993,15.081237983703613,reshape-2n1059,5,0.16136133598854596,2
24,24,173.66725518877448,93.43658702205114,13.762945175170898,15.933098030090331,reshape-2n105,5,0.13620407348407743,2
25,25,141.58710534625322,84.74799573471283,11.849978552924265,15.027404891120064,reshape-2n1060,9,0.21144211932915918,2
26,26,161.7775553634373,90.28943471607684,13.184637887137276,15.502067293439593,reshape-2n1061,7,0.14949163633698345,2
